,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
43,WbdIXM9z_Oc,🔥 Задержания журналистов. Пародия Галкина. Новый рейтинг Путина,2020-05-29T21:33:13Z,Навальный LIVE,265897,23597,447,2331
44,UPuY6A8gR9U,"Чудо на Кавказе, «нищие» Пригожин и Валерия, Путин бросил ручку",2020-05-28T20:34:47Z,Навальный LIVE,1096740,80823,1283,8848
45,lcrUONXzzJ0,Жуткий апрель,2020-05-28T10:41:04Z,Навальный LIVE,225903,14672,288,1414
46,p1dmr3itO9s,🔥 Собянин и прогулки по графику. Иск к Путину от бывшего губернатора. Юбилей «Единства»,2020-05-27T21:40:48Z,Навальный LIVE,334770,23915,502,3955
47,V9-ri8N9aSk,"Наши стыдные ответы Apple, Google и «Википедии»",2020-05-27T11:49:30Z,Навальный LIVE,316860,35008,1443,2462
48,4tvuHcXZd2U,🔥 Парад 24 июня. Песков и «Социальный мониторинг». Недоверие к судам,2020-05-26T21:10:38Z,Навальный LIVE,224327,18659,367,2174
49,PuDrc70GIII,Путин торопится обнулиться,2020-05-26T10:55:54Z,Навальный LIVE,544501,47746,545,3895
50,OwrXqz4roTM,🔥 Дистанционное голосование за поправки. Bloomberg и рейтинг Путина. Землевладелец Ткачев,2020-05-25T21:20:49Z,Навальный LIVE,243533,21763,333,2286
51,e05zUnDjgl8,Навальный о том как Чайка швейцарского прокурора уговорил,2020-05-25T10:01:50Z,Навальный LIVE,297014,18937,275,1566
52,VSZf-jHAU7k,Навальный о высказываниях доктора Мясникова,2020-05-24T11:57:33Z,Навальный LIVE,514353,25995,1737,4422
53,kqMVC4lD1go,Навальный о продаже яхты Медведева на «Авито»,2020-05-23T09:57:08Z,Навальный LIVE,351976,20320,358,1832
54,PAtW3a3NbXE,🔥 Голосование на фоне эпидемии. Катастрофа для малого бизнеса. Орден для Захаровой,2020-05-22T20:24:11Z,Навальный LIVE,189744,16630,305,1805
55,VQl2KVISh1w,"Кошмар в Чечне и Дагестане, врачи и Владимир Обещалкин, яхта Медведева на «Авито»",2020-05-21T19:59:56Z,Навальный LIVE,2316411,123190,4035,17010
56,WKxz99zyr_o,🔥 Дело Котова. Чубайс про нефтяную иглу. Кому положено умереть — помрут,2020-05-20T22:12:37Z,Навальный LIVE,160758,14706,235,1694
57,Oel5UUuxZLI,"Новые законы: обыски, выборы, штрафы, полиция",2020-05-20T12:33:50Z,Навальный LIVE,207440,16368,191,1375
58,tp_9uOjSj-c,Миллионы для Шредера,2020-05-20T09:00:16Z,Навальный LIVE,290474,14174,490,1299
59,mCwceRA3X5U,🔥 Чего не ожидал министр труда. Прогулки пока не разрешат. Медведев и перемены в «Единой России»,2020-05-19T22:05:37Z,Навальный LIVE,228668,20705,276,2068
60,C9LVAufesmo,Власть и культура: история упадка,2020-05-19T16:26:02Z,Навальный LIVE,296952,26117,499,1584
61,0QY4pInhZHs,🔥 Коронавирус и обещания врачам. Голосование по Конституции. Усманов в британском рейтинге,2020-05-18T21:46:28Z,Навальный LIVE,179985,14693,249,1660
62,k5tE2M37eEk,"Навальный о дочери Путина, Сечине и о генетических исследованиях россиян",2020-05-18T10:04:14Z,Навальный LIVE,278587,16719,342,2214
63,aP0UcsYDa1E,Навальный о ситуации с якутским шаманом,2020-05-17T11:55:54Z,Навальный LIVE,308127,22940,425,3449
64,3uQqdY7YehY,Навальный о масочном режиме,2020-05-16T11:55:40Z,Навальный LIVE,413129,23303,576,3176
65,WZ6Wg5DDUjI,Все на помощь Сечину!,2020-05-16T08:56:49Z,Навальный LIVE,350382,19749,375,1973
66,wL5Exq2s8fM,"Сечин — спонсор дочери Путина, шамана отправят в психушку, впереди полицейский беспредел",2020-05-14T20:02:56Z,Навальный LIVE,1783743,106112,2674,10080
67,zs6vlEdZ1nQ,🔥 Голосование по почте. Беглов и раздача масок. Депутаты «отпугивают вирус»,2020-05-13T20:39:15Z,Навальный LIVE,240270,23197,326,2876
68,kZd3Rc4FYY8,Обзор российской конспирологии и теорий заговора,2020-05-13T12:58:51Z,Навальный LIVE,239017,17798,1745,2869
69,JRF2AovgEMg,Соловьев: пропагандист или фрик?,2020-05-12T14:53:09Z,Навальный LIVE,822416,64776,1986,6018
70,aEBAYxE2h2w,Навальный: двадцать лет инаугурации Путина,2020-05-11T11:55:34Z,Навальный LIVE,202947,14332,300,1626
71,pbBBdfkaaqA,Силуанов лжет,2020-05-11T08:59:00Z,Навальный LIVE,423464,24068,404,2730
72,Fq3TyA68j60,Дебаты Любови Соболь и Ксении Собчак. «20 тысяч: популизм или необходимость?»,2020-05-10T16:06:38Z,Навальный LIVE,1705879,92466,6611,34722
73,QfgCAe2POEw,Навальный: Никита Михалков против Билла Гейтса,2020-05-10T10:04:20Z,Навальный LIVE,218355,10484,4202,4657
74,PeYWta88W3w,Навальный: самый странный День Победы,2020-05-09T09:55:54Z,Навальный LIVE,632734,42419,1230,5673
75,CXmqQMYgftY,🔥 Падение доходов. Шутка липецкого губернатора. Жакет вице-мэра за 300 тысяч,2020-05-08T21:01:01Z,Навальный LIVE,228292,18731,249,1367
76,RZMC63FPFeM,"Никита Михалков vs Билл Гейтс, травить их как клещей, странные «дебаты» с Захаровой",2020-05-07T20:23:16Z,Навальный LIVE,2186699,115738,3780,13866
77,s-8adBxhU3w,Остались ли деньги в ФНБ?,2020-05-07T13:00:31Z,Навальный LIVE,276972,15508,424,1665
78,sJ8esSC2hBw,🔥 Выступление Путина и интервью Силуанова. Доверие к Путину и Навальному. «Ведомости» и цензура,2020-05-06T21:55:08Z,Навальный LIVE,568384,42604,652,3586
79,AerEnJeLARk,Почему Путин не вводит ЧС,2020-05-06T12:29:08Z,Навальный LIVE,1358168,86243,2086,6859
